episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
139,74.15,0.0,100.0,259.25,2.87,37.68,0.14,0.07
140,66.22,0.0,100.0,338.44,11.04,18.26,0.26,0.07
141,71.2,0.0,100.0,288.68,5.92,26.13,0.13,0.06
142,78.44,0.0,100.0,216.34,5.96,30.06,0.18,0.07
143,57.17,0.0,100.0,428.85,6.86,29.75,0.38,0.07
144,71.23,0.0,100.0,288.4,6.87,28.16,0.18,0.06
145,69.39,0.02,98.0,312.99,2.0,36.89,0.47,0.06
146,65.54,0.0,100.0,345.29,6.54,23.65,0.16,0.07
147,59.81,0.0,100.0,402.46,7.98,24.19,0.46,0.07
148,59.08,0.0,100.0,409.84,9.7,15.86,0.4,0.07
149,69.24,0.0,100.0,308.3,8.5,21.92,0.3,0.07
150,63.04,0.0,100.0,370.21,7.28,24.68,0.18,0.07
151,66.65,0.0,100.0,334.13,7.47,22.4,0.09,0.07
152,68.98,0.0,100.0,310.88,3.06,36.49,0.2,0.07
153,66.97,0.0,100.0,331.0,8.08,27.78,0.29,0.07
154,67.63,0.0,100.0,324.41,4.19,30.76,0.33,0.07
155,75.8,0.0,100.0,242.72,10.45,17.4,0.17,0.09
156,68.07,0.0,100.0,319.98,4.08,30.85,0.2,0.07
157,65.16,0.0,100.0,349.06,5.8,22.26,0.38,0.09
158,62.64,0.0,100.0,374.23,5.28,24.43,0.28,0.09
159,62.6,0.0,100.0,374.59,9.81,15.41,0.24,0.07
160,63.03,0.0,100.0,370.35,7.48,28.99,0.44,0.07
161,69.63,0.0,100.0,304.39,11.2,17.33,0.23,0.07
162,62.48,0.0,100.0,375.8,6.08,26.85,0.09,0.07
163,51.22,0.07,93.0,374.63,6.81,20.25,0.24,0.08
164,61.5,0.0,100.0,385.59,9.72,21.64,0.22,0.08
165,59.22,0.0,100.0,408.38,13.44,11.32,0.15,0.07
166,73.25,0.0,100.0,268.23,6.9,28.32,0.09,0.07
167,66.27,0.0,100.0,337.92,4.89,29.45,0.39,0.08
168,64.03,0.0,100.0,360.31,4.26,33.82,0.37,0.07
169,66.75,0.0,100.0,333.13,4.07,32.65,0.15,0.07
170,67.59,0.0,100.0,324.74,5.36,28.87,0.39,0.08
171,62.61,0.0,100.0,374.51,10.72,13.03,0.37,0.07
172,72.58,0.06,94.0,292.44,1.73,32.83,0.31,0.07
173,60.09,0.0,100.0,399.71,11.12,23.28,0.39,0.07
174,62.36,0.0,100.0,377.05,6.67,22.07,0.22,0.07
175,63.91,0.0,100.0,361.52,4.64,29.35,0.26,0.07
176,68.72,0.0,100.0,313.48,9.41,17.13,0.18,0.08
177,60.52,0.0,100.0,395.37,9.72,17.32,0.23,0.07
178,70.6,0.0,100.0,294.73,2.87,36.26,0.14,0.06
179,55.42,0.05,95.0,364.68,5.47,30.17,0.2,0.07
180,71.33,0.0,100.0,287.38,9.07,21.86,0.18,0.07
181,62.43,0.0,100.0,376.32,6.66,25.89,0.1,0.07
182,58.03,0.0,100.0,420.27,9.32,23.34,0.32,0.07
183,64.82,0.0,100.0,352.46,7.96,19.92,0.35,0.08
184,66.73,0.0,100.0,333.37,7.82,28.31,0.14,0.06
185,56.71,0.02,98.0,401.55,9.67,19.24,0.35,0.07
186,58.59,0.0,100.0,414.65,4.72,32.05,0.45,0.12
187,64.35,0.01,99.0,340.57,2.72,37.0,0.42,0.08
188,-26.2,0.5,50.0,524.38,5.48,18.72,0.26,0.05
189,60.4,0.0,100.0,396.6,5.2,33.58,0.52,0.06
190,69.02,0.0,100.0,310.49,7.42,27.41,0.19,0.07
191,61.73,0.0,100.0,383.31,9.72,15.45,0.15,0.07
192,-21.81,0.48,52.0,496.85,3.27,25.7,0.17,0.05
193,72.51,0.0,100.0,275.59,5.7,28.32,0.13,0.07
194,68.47,0.0,100.0,316.0,6.93,25.56,0.19,0.07
195,61.89,0.0,100.0,381.68,3.1,33.65,0.29,0.07
196,66.33,0.0,100.0,337.39,8.02,23.82,0.25,0.07
197,70.54,0.0,100.0,295.29,10.96,14.16,0.24,0.07
198,62.75,0.0,100.0,373.17,3.52,35.66,0.43,0.07
199,62.64,0.0,100.0,374.24,4.24,32.53,0.32,0.08
200,58.85,0.0,100.0,412.07,5.06,29.57,0.22,0.08
201,55.63,0.0,100.0,444.3,6.68,22.69,0.24,0.09
