episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
132,61.61,0.0,100.0,384.55,16.0,8.34,0.75,0.06
133,63.48,0.0,100.0,365.86,16.0,7.88,0.75,0.07
134,54.03,0.0,100.0,460.29,4.0,35.74,0.75,0.07
135,63.29,0.0,100.0,367.71,16.0,10.21,0.75,0.06
136,76.04,0.0,100.0,240.35,8.0,18.38,0.75,0.06
137,72.41,0.0,100.0,276.57,4.0,33.77,0.75,0.06
138,67.38,0.0,100.0,326.89,16.0,8.89,0.75,0.06
139,87.56,0.0,100.0,125.26,4.0,34.8,0.69,0.07
140,53.12,0.0,100.0,469.3,16.0,10.63,0.6,0.06
141,61.62,0.0,100.0,384.39,16.0,8.74,0.75,0.06
142,60.07,0.0,100.0,399.91,16.0,8.74,0.75,0.06
143,49.36,0.0,100.0,506.9,16.0,8.96,0.75,0.07
144,71.7,0.0,100.0,283.76,16.0,10.1,0.75,0.07
145,28.5,0.02,98.0,729.84,2.0,31.03,0.72,0.06
146,25.03,0.0,100.0,750.0,16.0,7.98,0.75,0.06
147,48.14,0.0,100.0,519.1,16.0,7.51,0.75,0.06
148,63.09,0.0,100.0,369.72,16.0,8.25,0.75,0.07
149,71.23,0.0,100.0,288.36,16.0,8.77,0.75,0.06
150,74.34,0.0,100.0,257.31,16.0,9.82,0.75,0.06
151,61.77,0.0,100.0,382.95,16.0,7.78,0.75,0.07
152,83.7,0.0,100.0,163.88,4.0,38.35,0.75,0.07
153,43.99,0.0,100.0,560.5,16.0,7.98,0.75,0.07
154,62.71,0.0,100.0,373.57,8.0,20.26,0.55,0.07
155,68.96,0.0,100.0,311.07,16.0,8.63,0.75,0.07
156,79.03,0.0,100.0,210.45,8.0,17.11,0.75,0.07
157,71.42,0.0,100.0,286.53,8.0,16.81,0.66,0.07
158,52.58,0.0,100.0,474.71,8.0,18.29,0.7,0.07
159,60.64,0.0,100.0,394.16,16.0,9.59,0.75,0.06
160,51.91,0.0,100.0,481.44,16.0,7.6,0.75,0.06
161,53.68,0.0,100.0,463.77,16.0,9.01,0.6,0.06
162,68.8,0.0,100.0,312.65,8.0,18.63,0.61,0.07
163,42.86,0.0,100.0,571.84,16.0,8.78,0.75,0.07
164,26.25,0.0,100.0,737.76,16.0,9.14,0.75,0.06
165,82.29,0.0,100.0,177.96,16.0,7.4,0.75,0.06
166,78.2,0.0,100.0,218.79,16.0,10.0,0.75,0.07
167,52.22,0.0,100.0,478.27,8.0,16.23,0.75,0.07
168,65.71,0.0,100.0,343.56,8.0,19.37,0.75,0.07
169,76.07,0.0,100.0,240.06,8.0,20.36,0.75,0.06
170,63.84,0.0,100.0,362.25,8.0,16.29,0.75,0.06
171,52.36,0.0,100.0,476.96,16.0,8.54,0.75,0.06
172,60.23,0.06,94.0,423.7,2.0,31.18,0.58,0.07
173,66.54,0.0,100.0,335.22,16.0,10.43,0.75,0.07
174,61.36,0.0,100.0,387.01,8.0,17.94,0.48,0.07
175,66.18,0.0,100.0,338.84,8.0,19.2,0.75,0.06
176,76.9,0.0,100.0,231.72,16.0,7.79,0.75,0.06
177,63.98,0.0,100.0,360.81,16.0,8.81,0.75,0.06
178,44.08,0.0,100.0,559.64,4.0,34.17,0.75,0.07
179,30.91,0.0,100.0,691.19,16.0,9.26,0.75,0.07
180,75.9,0.0,100.0,241.79,16.0,8.41,0.75,0.07
181,57.1,0.0,100.0,429.52,16.0,8.27,0.75,0.07
182,60.82,0.0,100.0,392.44,16.0,9.71,0.75,0.06
183,30.87,0.0,100.0,691.6,16.0,10.1,0.75,0.07
184,66.69,0.0,100.0,333.79,16.0,9.49,0.75,0.09
185,39.02,0.0,100.0,610.24,16.0,7.79,0.75,0.07
186,55.48,0.0,100.0,445.79,16.0,7.77,0.75,0.07
187,48.86,0.0,100.0,511.91,4.0,39.02,0.75,0.07
188,42.64,0.0,100.0,574.03,8.0,19.79,0.51,0.09
189,48.48,0.0,100.0,515.65,8.0,16.22,0.75,0.08
190,50.95,0.0,100.0,491.05,16.0,8.66,0.75,0.08
191,59.35,0.0,100.0,407.1,16.0,7.98,0.75,0.07
192,50.11,0.0,100.0,499.39,8.0,15.49,0.75,0.13
193,58.62,0.0,100.0,414.39,8.0,17.98,0.61,0.07
194,66.44,0.0,100.0,336.25,16.0,10.07,0.75,0.07
195,65.16,0.0,100.0,349.02,4.0,32.77,0.75,0.13
196,60.16,0.0,100.0,399.05,16.0,8.77,0.75,0.14
197,51.49,0.0,100.0,485.59,16.0,8.44,0.75,0.12
198,68.33,0.0,100.0,317.39,4.0,34.51,0.63,0.1
199,50.77,0.0,100.0,492.77,8.0,18.26,0.75,0.13
200,46.51,0.0,100.0,535.32,8.0,18.2,0.75,0.13
201,53.32,0.0,100.0,467.35,8.0,16.12,0.75,0.09
202,33.17,0.0,100.0,668.6,8.0,17.77,0.75,0.18
203,56.63,0.0,100.0,434.29,16.0,10.65,0.75,0.17
204,45.74,0.0,100.0,543.09,16.0,8.3,0.75,0.11
