episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
137,72.41,0.0,100.0,276.57,4.0,33.77,0.75,0.09
138,67.38,0.0,100.0,326.89,16.0,8.89,0.75,0.11
139,41.58,0.0,100.0,584.58,1.87,33.01,0.55,0.1
140,57.85,0.0,100.0,422.05,16.0,10.48,0.75,0.09
141,61.62,0.0,100.0,384.39,16.0,8.74,0.75,0.08
142,60.07,0.0,100.0,399.91,16.0,8.74,0.75,0.08
143,49.36,0.0,100.0,506.9,16.0,8.96,0.75,0.08
144,64.49,0.0,100.0,355.78,2.7,31.08,0.71,0.1
145,28.42,0.02,98.0,730.7,2.0,30.81,0.75,0.09
146,25.03,0.0,100.0,750.0,16.0,7.98,0.75,0.08
147,37.84,0.0,100.0,622.02,4.0,28.89,0.75,0.11
148,31.73,0.0,100.0,682.98,5.8,18.4,0.52,0.09
149,71.23,0.0,100.0,288.36,16.0,8.77,0.75,0.08
150,74.34,0.0,100.0,257.31,16.0,9.82,0.75,0.09
151,61.77,0.0,100.0,382.95,16.0,7.78,0.75,0.09
152,57.72,0.0,100.0,423.42,2.08,33.13,0.72,0.09
153,43.99,0.0,100.0,560.5,16.0,7.98,0.75,0.1
154,61.52,0.0,100.0,385.41,8.0,19.58,0.75,0.09
155,68.96,0.0,100.0,311.07,16.0,8.63,0.75,0.1
156,79.03,0.0,100.0,210.45,8.0,17.11,0.75,0.12
157,71.16,0.0,100.0,289.1,8.0,16.27,0.75,0.12
158,79.47,0.0,100.0,206.14,8.0,18.09,0.75,0.08
159,40.74,0.0,100.0,592.99,2.96,24.75,0.56,0.13
160,51.91,0.0,100.0,481.44,16.0,7.6,0.75,0.16
161,52.87,0.0,100.0,471.79,16.0,8.62,0.75,0.11
162,75.52,0.0,100.0,245.53,8.0,17.85,0.75,0.13
163,35.42,0.0,100.0,646.11,5.8,20.09,0.49,0.11
164,26.25,0.0,100.0,737.76,16.0,9.14,0.75,0.09
165,82.29,0.0,100.0,177.96,16.0,7.4,0.75,0.08
166,78.2,0.0,100.0,218.79,16.0,10.0,0.75,0.09
167,52.22,0.0,100.0,478.27,8.0,16.23,0.75,0.09
168,65.71,0.0,100.0,343.56,8.0,19.37,0.75,0.11
169,62.31,0.0,100.0,377.56,2.24,33.07,0.72,0.11
170,63.84,0.0,100.0,362.25,8.0,16.29,0.75,0.09
171,60.82,0.0,100.0,392.44,8.0,13.99,0.75,0.09
172,52.18,0.06,94.0,509.16,2.0,30.99,0.75,0.11
173,66.54,0.0,100.0,335.22,16.0,10.43,0.75,0.08
174,36.67,0.0,100.0,633.69,8.0,17.1,0.75,0.1
175,51.61,0.0,100.0,484.44,4.0,31.06,0.75,0.1
176,76.9,0.0,100.0,231.72,16.0,7.79,0.75,0.08
177,71.78,0.0,100.0,282.9,8.0,15.93,0.75,0.1
178,82.08,0.0,100.0,180.0,2.1,33.37,0.71,0.09
179,30.91,0.0,100.0,691.19,16.0,9.26,0.75,0.06
180,75.9,0.0,100.0,241.79,16.0,8.41,0.75,0.07
181,57.1,0.0,100.0,429.52,16.0,8.27,0.75,0.06
182,60.82,0.0,100.0,392.44,16.0,9.71,0.75,0.07
183,67.46,0.0,100.0,326.02,8.0,16.99,0.75,0.06
184,66.69,0.0,100.0,333.79,16.0,9.49,0.75,0.07
185,52.92,0.0,100.0,471.31,2.84,26.8,0.7,0.07
186,55.48,0.0,100.0,445.79,16.0,7.77,0.75,0.06
187,60.71,0.0,100.0,393.49,1.42,33.22,0.48,0.07
188,47.58,0.0,100.0,524.66,3.38,24.71,0.53,0.07
189,48.48,0.0,100.0,515.65,8.0,16.22,0.75,0.06
190,50.95,0.0,100.0,491.05,16.0,8.66,0.75,0.06
191,59.35,0.0,100.0,407.1,16.0,7.98,0.75,0.06
192,53.28,0.0,100.0,467.76,2.36,27.48,0.7,0.06
193,72.27,0.0,100.0,278.01,8.0,17.01,0.75,0.07
194,66.44,0.0,100.0,336.25,16.0,10.07,0.75,0.06
195,65.16,0.0,100.0,349.02,4.0,32.77,0.75,0.06
196,56.21,0.0,100.0,438.44,4.0,31.2,0.75,0.07
197,71.15,0.0,100.0,289.22,8.0,15.57,0.75,0.09
198,71.87,0.0,100.0,282.04,4.0,34.1,0.75,0.08
199,50.77,0.0,100.0,492.77,8.0,18.26,0.75,0.06
200,46.51,0.0,100.0,535.32,8.0,18.2,0.75,0.06
201,53.32,0.0,100.0,467.35,8.0,16.12,0.75,0.06
202,33.17,0.0,100.0,668.6,8.0,17.77,0.75,0.07
203,59.1,0.0,100.0,409.56,8.0,17.36,0.75,0.06
204,45.74,0.0,100.0,543.09,16.0,8.3,0.75,0.08
205,41.98,0.0,100.0,580.62,16.0,8.55,0.75,0.08
206,67.18,0.0,100.0,328.9,16.0,8.12,0.75,0.08
207,52.25,0.0,100.0,477.99,8.0,18.72,0.75,0.09
208,36.45,0.0,100.0,635.88,3.38,25.64,0.52,0.1
209,91.47,0.0,100.0,86.25,16.0,7.86,0.75,0.11
210,78.93,0.04,96.0,220.22,2.0,30.76,0.75,0.09
211,72.6,0.0,100.0,274.73,2.89,23.49,0.48,0.1
212,75.75,0.0,100.0,243.22,4.0,32.81,0.75,0.09
213,55.87,0.0,100.0,441.89,8.0,13.93,0.75,0.08
214,73.41,0.0,100.0,266.59,3.59,24.4,0.51,0.12
215,50.8,0.0,100.0,492.49,16.0,8.96,0.75,0.11
216,46.51,0.0,100.0,535.32,16.0,9.44,0.75,0.09
217,47.19,0.0,100.0,528.6,2.06,34.03,0.72,0.08
218,69.02,0.0,100.0,310.5,16.0,9.2,0.75,0.08
219,53.98,0.0,100.0,460.74,4.75,19.19,0.57,0.09
220,83.81,0.0,100.0,162.72,4.0,35.66,0.75,0.09
221,38.29,0.0,100.0,617.5,2.2,31.43,0.67,0.09
222,55.22,0.0,100.0,448.38,4.0,43.09,0.75,0.13
223,63.12,0.0,100.0,369.44,16.0,9.7,0.75,0.14
224,50.87,0.0,100.0,491.79,16.0,9.09,0.75,0.08
225,54.31,0.0,100.0,457.46,2.3,29.46,0.71,0.09
226,70.92,0.0,100.0,291.52,16.0,8.94,0.75,0.09
227,67.18,0.0,100.0,328.9,8.0,16.85,0.75,0.08
228,50.71,0.0,100.0,493.36,1.99,37.42,0.52,0.09
229,57.05,0.0,100.0,430.1,16.0,8.34,0.75,0.09
230,43.82,0.0,100.0,562.23,4.0,31.75,0.75,0.12
231,69.59,0.0,100.0,304.75,16.0,8.53,0.75,0.09
232,55.28,0.0,100.0,447.8,16.0,10.62,0.75,0.13
233,49.27,0.0,100.0,507.76,16.0,8.65,0.75,0.09
234,41.82,0.0,100.0,582.18,2.3,28.04,0.71,0.14
235,74.95,0.0,100.0,251.28,16.0,7.92,0.75,0.09
236,65.94,0.0,100.0,341.27,2.12,32.55,0.71,0.09
237,82.83,0.0,100.0,172.5,16.0,10.17,0.75,0.13
238,47.5,0.0,100.0,525.52,2.18,44.88,0.68,0.08
239,74.92,0.0,100.0,251.56,4.0,32.35,0.75,0.1
240,57.98,0.0,100.0,420.77,16.0,8.43,0.75,0.09
241,75.24,0.0,100.0,248.4,16.0,9.08,0.75,0.08
242,55.79,0.0,100.0,442.62,16.0,8.14,0.75,0.08
243,53.35,0.0,100.0,467.06,8.0,17.83,0.75,0.08
244,30.18,0.0,100.0,698.5,4.0,33.57,0.75,0.08
245,65.25,0.0,100.0,348.16,8.0,15.56,0.75,0.08
246,65.08,0.0,100.0,349.89,4.0,30.33,0.75,0.09
247,33.81,0.0,100.0,662.27,8.0,18.59,0.75,0.11
248,49.98,0.0,100.0,500.7,16.0,9.67,0.75,0.11
249,66.43,0.0,100.0,336.37,16.0,9.71,0.75,0.1
250,43.98,0.0,100.0,560.62,8.0,14.59,0.75,0.12
251,69.08,0.0,100.0,309.92,16.0,8.43,0.75,0.09
252,76.24,0.0,100.0,238.34,4.0,33.23,0.75,0.09
253,67.7,0.0,100.0,323.72,16.0,9.19,0.75,0.08
254,57.59,0.0,100.0,424.64,16.0,8.2,0.75,0.1
255,69.75,0.05,95.0,319.12,2.0,36.25,0.75,0.09
256,71.0,0.0,100.0,290.66,16.0,8.1,0.75,0.09
257,51.02,0.0,100.0,490.35,16.0,8.93,0.75,0.1
258,53.15,0.0,100.0,469.07,16.0,9.95,0.75,0.08
259,45.31,0.0,100.0,547.4,16.0,9.93,0.75,0.09
260,53.91,0.0,100.0,461.44,16.0,8.87,0.75,0.08
261,72.04,0.0,100.0,280.31,8.0,18.29,0.75,0.08
262,48.53,0.0,100.0,515.2,8.0,15.45,0.75,0.08
263,47.16,0.0,100.0,528.88,8.0,17.99,0.75,0.08
264,49.04,0.0,100.0,510.06,16.0,8.13,0.75,0.08
265,57.51,0.0,100.0,425.46,2.24,31.05,0.72,0.08
266,59.19,0.0,100.0,408.7,16.0,6.86,0.75,0.08
267,53.22,0.0,100.0,468.34,8.0,19.26,0.75,0.08
268,54.54,0.0,100.0,455.11,16.0,8.88,0.75,0.09
269,30.66,0.0,100.0,693.74,16.0,8.58,0.75,0.08
270,59.56,0.0,100.0,404.96,4.0,31.79,0.75,0.08
271,52.15,0.0,100.0,478.97,16.0,7.43,0.75,0.11
272,68.96,0.0,100.0,311.07,4.0,36.59,0.75,0.11
273,31.74,0.0,100.0,682.89,1.75,30.02,0.45,0.09
274,65.84,0.0,100.0,342.29,16.0,7.98,0.75,0.09
275,58.74,0.0,100.0,413.14,16.0,8.75,0.75,0.09
276,43.78,0.0,100.0,562.6,2.84,28.87,0.7,0.08
277,58.63,0.0,100.0,414.29,16.0,8.07,0.75,0.08
278,33.14,0.0,100.0,668.89,8.0,18.88,0.75,0.08
279,66.64,0.04,96.0,348.13,1.3,29.66,0.54,0.09
280,61.12,0.0,100.0,389.41,1.48,30.96,0.53,0.09
281,58.05,0.0,100.0,420.04,8.0,19.82,0.75,0.08
282,46.05,0.0,100.0,539.92,8.0,16.33,0.75,0.08
283,71.62,0.0,100.0,284.53,2.08,30.89,0.72,0.1
284,57.77,0.0,100.0,422.91,16.0,9.41,0.75,0.11
285,83.18,0.0,100.0,169.05,4.0,32.83,0.75,0.08
286,43.35,0.0,100.0,566.89,6.25,23.03,0.52,0.09
287,55.26,0.0,100.0,447.92,4.0,29.15,0.75,0.1
288,47.04,0.0,100.0,530.02,16.0,9.56,0.75,0.08
289,77.36,0.0,100.0,227.12,4.0,33.82,0.75,0.09
290,65.95,0.0,100.0,341.12,6.85,19.78,0.5,0.09
291,70.91,0.0,100.0,291.62,1.31,34.89,0.57,0.09
292,81.44,0.0,100.0,186.44,2.3,27.09,0.71,0.08
293,37.23,0.0,100.0,628.06,16.0,9.68,0.75,0.1
294,57.1,0.0,100.0,429.52,16.0,9.01,0.75,0.09
295,37.02,0.0,100.0,630.14,3.03,24.97,0.54,0.09
296,55.59,0.0,100.0,444.64,8.0,16.24,0.75,0.08
297,53.23,0.0,100.0,468.25,5.95,18.53,0.51,0.09
298,64.72,0.0,100.0,353.5,1.93,34.22,0.54,0.12
299,61.8,0.0,100.0,382.62,2.04,35.72,0.73,0.18
300,86.51,0.0,100.0,135.79,1.24,31.08,0.6,0.1
