#{"t_start": 1756446849.9953153, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
42.005634,100,45.819124,0.74,3.0,42.01,0.14,86.0,14.0,40.0,19.0,15.0,12.0,349.42,6.26,20.2,0.28,0.96
42.03712,100,47.109446,0.86,0.0,42.04,0.18,82.0,18.0,44.0,16.0,14.0,8.0,268.57,4.82,24.74,0.33,1.19
41.539402,100,47.846757,0.9,3.0,41.54,0.22,78.0,22.0,56.0,7.0,10.0,5.0,186.21,12.52,16.83,0.38,1.1
33.340687,100,48.884402,0.83,4.0,33.34,0.16,84.0,16.0,43.0,21.0,12.0,8.0,413.2,11.18,17.05,0.23,0.69
47.14801,100,49.751521,0.84,0.0,47.15,0.17,83.0,17.0,45.0,14.0,15.0,9.0,227.91,6.1,26.74,0.35,0.98
44.61416,100,50.447297,0.8,0.0,44.61,0.11,89.0,11.0,49.0,14.0,8.0,18.0,375.75,8.06,18.84,0.21,0.73
30.549522,100,51.16162,0.58,2.0,30.55,0.23,77.0,23.0,43.0,15.0,15.0,4.0,305.25,8.34,19.59,0.29,0.65
49.93772,100,52.07441,-1.0,6.0,49.94,0.13,87.0,13.0,46.0,14.0,15.0,12.0,277.3,9.17,16.7,0.36,0.66
30.428772,100,52.812814,-1.0,5.0,30.43,0.19,81.0,19.0,48.0,16.0,12.0,5.0,390.38,6.16,27.58,0.28,0.81
46.482944,100,53.850788,-1.0,7.0,46.48,0.12,88.0,12.0,56.0,10.0,10.0,12.0,336.09,8.55,21.69,0.21,0.69
23.316206,100,55.28331,0.65,3.0,23.32,0.23,77.0,23.0,44.0,16.0,10.0,7.0,399.09,9.83,22.54,0.33,0.99
71.348145,100,57.53882,0.92,5.0,71.35,0.16,84.0,16.0,31.0,21.0,19.0,13.0,175.25,3.32,19.37,0.22,1.32
58.722153,100,59.235988,0.86,4.0,58.72,0.09,91.0,9.0,56.0,14.0,9.0,12.0,256.54,5.55,25.74,0.21,2.17
62.78437,100,60.304981,0.96,0.0,62.78,0.25,75.0,25.0,27.0,18.0,13.0,17.0,203.67,1.3,17.91,0.27,1.54
39.40497,100,61.948144,-1.0,7.0,39.4,0.18,82.0,18.0,43.0,13.0,10.0,16.0,300.64,8.4,21.19,0.14,1.02
52.93242,100,62.403652,0.91,4.0,52.93,0.15,85.0,15.0,48.0,15.0,13.0,9.0,201.59,10.48,23.13,0.2,1.59
33.134476,100,62.898336,0.74,0.0,33.13,0.22,78.0,22.0,41.0,16.0,8.0,13.0,293.85,7.47,19.78,0.27,0.42
51.03844,100,63.405242,0.84,2.0,51.04,0.16,84.0,16.0,49.0,13.0,9.0,13.0,202.72,11.86,18.58,0.16,0.47
41.762615,100,63.870558,0.87,3.0,41.76,0.22,78.0,22.0,47.0,14.0,12.0,5.0,183.35,8.5,22.27,0.26,0.47
57.823147,100,64.351044,0.95,4.0,57.82,0.18,82.0,18.0,51.0,11.0,15.0,5.0,76.25,5.08,28.66,0.41,0.43
40.202877,100,64.810757,-1.0,5.0,40.2,0.17,83.0,17.0,54.0,15.0,10.0,4.0,311.5,6.0,28.74,0.34,0.45
47.56723,100,65.499032,0.78,1.0,47.57,0.14,86.0,14.0,56.0,10.0,15.0,5.0,284.82,6.8,29.59,0.33,0.43
37.097633,100,66.02455,-1.0,7.0,37.1,0.2,80.0,20.0,44.0,14.0,9.0,13.0,286.99,4.18,24.27,0.27,0.64
49.834362,100,66.484285,0.95,5.0,49.83,0.18,82.0,18.0,45.0,16.0,16.0,5.0,173.58,9.9,17.61,0.29,0.49
62.128227,100,66.968425,0.95,5.0,62.13,0.12,88.0,12.0,36.0,18.0,18.0,16.0,158.48,9.63,13.58,0.3,0.42
65.11384,100,67.434646,0.85,1.0,65.11,0.22,78.0,22.0,35.0,12.0,15.0,16.0,166.04,1.74,24.04,0.18,0.45
34.093697,100,67.890178,0.78,5.0,34.09,0.17,83.0,17.0,53.0,14.0,13.0,3.0,385.03,10.75,22.34,0.4,0.43
29.34611,100,68.349219,0.87,5.0,29.35,0.28,72.0,28.0,36.0,10.0,18.0,8.0,204.32,4.37,24.95,0.26,0.42
66.67544,100,68.828434,0.88,6.0,66.68,0.21,79.0,21.0,29.0,20.0,17.0,13.0,194.79,3.17,21.59,0.23,0.42
38.041943,100,69.257246,0.72,2.0,38.04,0.2,80.0,20.0,52.0,12.0,10.0,6.0,275.2,11.39,16.26,0.32,0.45
61.52279,100,69.721456,1.0,7.0,61.52,0.24,76.0,24.0,24.0,21.0,11.0,20.0,138.72,2.53,22.01,0.14,0.4
33.62198,100,70.165855,0.49,2.0,33.62,0.09,91.0,9.0,59.0,16.0,9.0,7.0,532.09,13.01,17.89,0.21,0.43
20.097773,100,70.619302,0.46,6.0,20.1,0.24,76.0,24.0,34.0,14.0,12.0,16.0,420.35,8.98,14.52,0.39,0.42
43.280167,100,71.095939,0.63,1.0,43.28,0.17,83.0,17.0,49.0,16.0,6.0,12.0,274.46,8.34,21.11,0.29,0.42
52.965515,100,71.540293,0.73,6.0,52.97,0.15,85.0,15.0,49.0,12.0,16.0,8.0,201.21,9.32,21.68,0.27,0.44
52.46269,100,72.052026,0.81,1.0,52.46,0.14,86.0,14.0,38.0,18.0,13.0,17.0,227.95,9.22,15.62,0.3,0.41
45.214928,100,72.526094,1.0,7.0,45.21,0.23,77.0,23.0,37.0,20.0,11.0,9.0,478.25,1.9,25.16,0.13,0.48
38.660904,100,72.984191,0.71,2.0,38.66,0.18,82.0,18.0,54.0,11.0,8.0,9.0,309.7,8.34,22.59,0.16,0.45
21.989595,100,73.44913,0.67,0.0,21.99,0.19,81.0,19.0,59.0,8.0,8.0,6.0,494.46,10.11,18.64,0.16,0.43
51.32239,100,73.935685,-1.0,5.0,51.32,0.15,85.0,15.0,53.0,10.0,12.0,10.0,220.52,9.35,18.06,0.37,0.44
39.296513,100,74.400281,0.83,5.0,39.3,0.2,80.0,20.0,40.0,17.0,13.0,10.0,259.53,8.31,19.97,0.25,0.45
39.794136,100,74.887546,0.83,4.0,39.79,0.17,83.0,17.0,44.0,12.0,13.0,14.0,316.42,7.28,22.06,0.16,0.43
50.279922,100,75.345855,0.74,5.0,50.28,0.12,88.0,12.0,56.0,5.0,11.0,16.0,292.98,7.6,25.16,0.15,0.45
63.653538,100,75.828513,0.91,3.0,63.65,0.22,78.0,22.0,34.0,15.0,15.0,14.0,133.51,2.46,21.69,0.16,0.43
50.46246,100,76.321606,0.6,0.0,50.46,0.12,88.0,12.0,52.0,15.0,10.0,11.0,290.91,11.87,16.88,0.18,0.45
53.154964,100,76.777459,0.91,4.0,53.15,0.14,86.0,14.0,51.0,18.0,10.0,7.0,219.91,5.91,25.2,0.28,0.46
42.18441,100,77.293231,0.95,1.0,42.18,0.24,76.0,24.0,46.0,15.0,11.0,4.0,130.02,11.96,15.81,0.4,0.43
56.045128,100,77.772656,0.56,1.0,56.05,0.14,86.0,14.0,52.0,11.0,14.0,9.0,186.34,5.28,27.48,0.4,0.48
48.506622,100,78.264904,0.87,5.0,48.51,0.15,85.0,15.0,44.0,19.0,15.0,7.0,253.61,5.92,25.4,0.27,0.45
41.12462,100,78.742986,0.81,4.0,41.12,0.16,84.0,16.0,37.0,16.0,14.0,17.0,320.63,5.36,21.28,0.17,0.45
43.057,100,79.27492,-1.0,4.0,43.06,0.16,84.0,16.0,46.0,8.0,9.0,21.0,297.64,7.97,19.17,0.1,0.45
37.911896,100,79.748365,0.66,4.0,37.91,0.14,86.0,14.0,49.0,15.0,9.0,13.0,396.98,8.5,19.92,0.39,0.5
48.788807,100,80.181888,0.85,1.0,48.79,0.15,85.0,15.0,54.0,12.0,11.0,8.0,250.29,11.14,16.33,0.27,0.43
36.66126,100,80.624904,0.84,4.0,36.66,0.19,81.0,19.0,59.0,8.0,8.0,6.0,313.51,6.41,30.28,0.21,0.41
33.186085,100,81.115199,0.9,1.0,33.19,0.23,77.0,23.0,42.0,14.0,8.0,13.0,271.04,7.6,17.39,0.34,0.39
18.449533,100,81.711615,-1.0,7.0,18.45,0.24,76.0,24.0,48.0,15.0,7.0,6.0,442.01,11.7,18.09,0.31,0.46
22.04655,100,82.155659,-1.0,7.0,22.05,0.15,85.0,15.0,55.0,17.0,8.0,5.0,564.59,14.31,14.45,0.21,0.56
37.06885,100,82.634386,0.8,1.0,37.07,0.2,80.0,20.0,41.0,14.0,12.0,13.0,287.35,8.5,18.44,0.33,0.4
26.524761,100,83.109937,0.73,1.0,26.52,0.19,81.0,19.0,66.0,5.0,7.0,3.0,438.53,5.4,31.8,0.33,0.45
48.666702,100,83.566847,0.9,4.0,48.67,0.16,84.0,16.0,45.0,16.0,14.0,9.0,230.93,5.22,24.72,0.39,0.44
63.439762,100,84.054538,0.9,5.0,63.44,0.11,89.0,11.0,54.0,9.0,13.0,13.0,164.43,4.56,28.08,0.37,0.43
42.9318,100,84.673096,0.66,1.0,42.93,0.15,85.0,15.0,56.0,9.0,9.0,11.0,319.13,4.98,28.62,0.29,0.45
36.591812,100,85.32019,-1.0,4.0,36.59,0.12,88.0,12.0,52.0,13.0,8.0,15.0,448.37,9.68,18.98,0.25,0.58
64.30575,100,86.005913,0.92,5.0,64.31,0.23,77.0,23.0,34.0,17.0,12.0,14.0,230.57,1.69,18.92,0.33,0.59
34.09856,100,86.731215,0.62,3.0,34.1,0.18,82.0,18.0,52.0,7.0,13.0,10.0,365.29,9.02,27.89,0.23,0.65
24.113243,100,87.398111,0.78,2.0,24.11,0.24,76.0,24.0,49.0,11.0,6.0,10.0,367.56,6.72,28.31,0.3,0.67
49.70764,100,87.941823,0.78,6.0,49.71,0.17,83.0,17.0,51.0,16.0,7.0,9.0,197.1,5.2,26.86,0.27,0.59
55.944206,100,88.70002,0.76,0.0,55.94,0.12,88.0,12.0,57.0,12.0,12.0,7.0,228.68,11.86,17.1,0.32,0.5
40.452442,100,89.285588,0.69,3.0,40.45,0.14,86.0,14.0,67.0,6.0,6.0,7.0,367.47,10.54,24.25,0.32,0.71
58.05324,100,89.892993,0.96,5.0,58.05,0.26,74.0,26.0,40.0,12.0,11.0,11.0,216.28,2.58,27.16,0.18,0.55
37.003742,100,90.687377,0.84,1.0,37.0,0.15,85.0,15.0,57.0,8.0,7.0,13.0,388.8,8.51,27.8,0.29,0.54
26.887266,100,91.248276,0.89,0.0,26.89,0.26,74.0,26.0,49.0,11.0,6.0,8.0,286.02,11.4,17.89,0.3,0.75
37.981117,100,91.887377,0.82,2.0,37.98,0.2,80.0,20.0,46.0,7.0,17.0,10.0,275.96,10.29,17.65,0.27,0.52
