r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
25.0,100,122.081658,0.25,3.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,659.85,16.0,7.58,0.75,0.96
-16.25,100,124.513335,-1.0,2.0,-16.25,0.33,67.0,33.0,67.0,0.0,0.0,0.0,629.79,1.0,29.53,0.75,0.53
21.25,100,126.352142,0.25,0.0,21.25,0.03,97.0,3.0,97.0,0.0,0.0,0.0,655.38,2.0,39.77,0.75,0.75
26.714718,100,128.229742,0.26,0.0,26.71,0.0,100.0,0.0,100.0,0.0,0.0,0.0,642.43,4.0,39.83,0.74,0.64
29.474691,100,129.902526,0.26,0.0,29.47,0.06,94.0,6.0,94.0,0.0,0.0,0.0,674.04,1.99,35.66,0.74,0.69
25.0,100,131.79138,0.25,2.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,711.15,8.0,20.09,0.75,0.45
44.328426,100,133.65009,0.47,2.0,44.33,0.0,100.0,0.0,100.0,0.0,0.0,0.0,514.43,4.0,30.63,0.53,0.62
25.418095,100,135.928946,0.26,1.0,25.42,0.0,100.0,0.0,100.0,0.0,0.0,0.0,599.77,7.88,20.79,0.74,0.75
26.546669,100,137.845636,0.25,3.0,26.55,0.0,100.0,0.0,100.0,0.0,0.0,0.0,479.29,4.12,30.87,0.75,0.68
-21.25,100,139.820635,-1.0,1.0,-21.25,0.37,63.0,37.0,63.0,0.0,0.0,0.0,456.42,1.0,28.54,0.75,0.64
25.0,100,142.202778,0.25,1.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,498.24,4.0,34.22,0.75,0.76
-17.5,100,144.441508,-1.0,1.0,-17.5,0.34,66.0,34.0,66.0,0.0,0.0,0.0,524.56,1.0,23.42,0.75,0.97
-19.169455,100,145.650263,0.27,2.0,-19.17,0.38,62.0,38.0,62.0,0.0,0.0,0.0,509.7,1.24,23.71,0.73,0.49
-15.0,100,146.75434,0.25,0.0,-15.0,0.32,68.0,32.0,68.0,0.0,0.0,0.0,614.84,1.0,22.74,0.75,0.41
16.798323,100,148.546054,0.49,0.0,16.8,0.17,83.0,17.0,83.0,0.0,0.0,0.0,477.77,3.87,25.38,0.51,0.32
-11.760667,100,151.046536,0.27,1.0,-11.76,0.31,69.0,31.0,69.0,0.0,0.0,0.0,548.08,1.2,26.15,0.73,0.74
24.474531,100,152.273989,0.25,1.0,24.47,0.01,99.0,1.0,99.0,0.0,0.0,0.0,597.44,2.0,42.47,0.75,0.92
25.0,100,153.556574,0.25,2.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,679.81,8.0,17.5,0.75,0.36
30.940346,100,154.702986,0.41,3.0,30.94,0.07,93.0,7.0,93.0,0.0,0.0,0.0,546.94,2.63,33.85,0.59,0.44
-3.5675511,100,155.821422,0.28,1.0,-3.57,0.27,73.0,27.0,73.0,0.0,0.0,0.0,596.45,1.19,25.67,0.72,0.32
25.0,100,157.134994,0.25,2.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,621.16,4.0,39.02,0.75,0.32
23.110788,100,158.606543,0.36,2.0,23.11,0.08,92.0,8.0,92.0,0.0,0.0,0.0,713.95,3.37,31.59,0.64,0.5
35.417377,100,160.650713,0.38,0.0,35.42,0.04,96.0,4.0,96.0,0.0,0.0,0.0,453.86,5.79,26.73,0.62,0.61
32.002514,100,161.817545,0.34,3.0,32.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,613.81,13.34,13.67,0.66,0.49
32.184296,100,163.000116,0.26,1.0,32.18,0.05,95.0,5.0,95.0,0.0,0.0,0.0,738.97,1.99,39.68,0.74,0.34
4.592253,100,165.261281,0.34,2.0,4.59,0.21,79.0,21.0,79.0,0.0,0.0,0.0,441.2,1.19,27.2,0.66,0.35
