episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
141,67.34,0.0,100.0,327.27,2.14,34.68,0.72,0.1
142,72.85,0.0,100.0,272.26,2.12,40.34,0.7,0.15
143,58.55,0.0,100.0,415.11,1.93,39.84,0.55,0.09
144,63.18,0.0,100.0,368.79,1.99,40.09,0.54,0.07
145,78.97,0.02,98.0,215.34,2.0,38.22,0.75,0.08
146,51.79,0.0,100.0,482.59,4.0,35.83,0.75,0.09
147,59.52,0.0,100.0,405.35,2.7,31.78,0.71,0.16
148,42.87,0.0,100.0,571.73,1.87,35.35,0.49,0.45
149,45.96,0.0,100.0,540.83,4.0,40.36,0.75,0.33
150,43.97,0.0,100.0,560.79,4.0,37.95,0.75,0.24
151,52.93,0.0,100.0,471.26,1.81,38.98,0.55,0.15
152,74.29,0.0,100.0,257.89,4.0,39.39,0.75,0.17
153,69.94,0.0,100.0,301.3,4.0,35.07,0.75,0.23
154,44.81,0.0,100.0,552.37,1.53,40.27,0.49,0.27
155,75.42,0.0,100.0,246.56,5.5,26.29,0.54,0.15
156,58.61,0.0,100.0,414.45,4.0,41.01,0.75,0.21
157,50.99,0.0,100.0,490.57,2.36,36.18,0.7,0.21
158,65.83,0.0,100.0,342.41,2.36,35.05,0.7,0.25
159,42.11,0.0,100.0,579.31,8.0,18.14,0.75,0.19
160,50.95,0.0,100.0,491.01,2.1,38.38,0.71,0.17
161,57.45,0.0,100.0,426.11,4.9,25.32,0.57,0.14
162,61.57,0.0,100.0,384.96,4.0,35.74,0.75,0.12
163,74.84,0.0,100.0,252.33,5.8,21.7,0.53,0.17
164,64.36,0.0,100.0,357.08,2.42,36.69,0.73,0.24
165,46.61,0.0,100.0,534.34,8.0,18.39,0.75,0.29
166,63.35,0.0,100.0,367.14,4.0,37.73,0.75,0.29
167,46.17,0.0,100.0,538.79,1.6,37.76,0.48,0.23
168,55.97,0.0,100.0,440.88,2.02,40.12,0.51,0.18
169,55.64,0.0,100.0,444.19,4.0,43.98,0.75,0.21
170,56.33,0.0,100.0,437.29,4.0,37.46,0.75,0.19
171,44.32,0.0,100.0,557.21,4.0,31.47,0.75,0.22
172,62.59,0.06,94.0,398.54,1.2,36.32,0.62,0.26
173,60.04,0.0,100.0,400.2,4.0,42.92,0.75,0.19
174,70.94,0.0,100.0,291.33,3.17,30.71,0.54,0.15
175,69.73,0.0,100.0,303.35,2.12,34.67,0.73,0.35
176,55.93,0.0,100.0,441.21,4.9,22.96,0.57,0.24
177,68.9,0.0,100.0,311.65,8.0,20.12,0.75,0.22
178,59.5,0.0,100.0,405.61,1.99,39.51,0.53,0.18
179,71.57,0.0,100.0,284.98,2.18,41.54,0.68,0.28
180,46.85,0.0,100.0,531.99,2.7,37.99,0.71,0.27
181,88.22,0.0,100.0,118.7,2.48,35.09,0.69,0.3
182,39.06,0.0,100.0,609.83,4.0,38.14,0.75,0.22
183,52.34,0.0,100.0,477.12,4.0,41.81,0.75,0.24
184,74.88,0.0,100.0,251.93,2.48,43.5,0.69,0.15
